date,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,Tahm Kench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zyra
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.62,2.52,1.39,0.31,0.01,2.08,2.16,0.41,3.01,2.94,0.05,0.21,1.0,0.31,0.43,0.53,2.46,0.47,2.45,0.61,1.6,0.39,0.55,2.42,0.01,0.02,0.74,0.52,0.63,2.17,1.36,1.02,0.58,0.67,0.26,0.16,0.02,2.41,0.59,0.59,0.01,0.01,0.26,0.34,0.97,0.41,0.45,0.63,0.52,1.87,2.01,2.24,1.14,0.18,1.07,0.03,0.05,0.54,0.57,2.29,0.04,0.33,2.35,0.93,0.09,1.7,0.43,1.98,0.18,0.09,0.4,0.91,0.44,0.02,0.6,0.25,0.16,0.06,0.1,0.33,2.57,0.39,0.51,0.28,0.58,0.02,0.04,0.01,0.74,0.12,0.65,0.65,1.89,0.02,0.11,0.49,0.05,2.05,0.37,0.49,0.03,0.06,0.03,1.25,2.45,0.36,2.88,2.4,0.31,0.55,0.09,0.46,0.46,0.64,2.24,0.33,0.09,0.67,0.54,0.44,1.89,1.87,0.02,2.42,1.69,0.15,0.03,0.48,0.44,2.32,0.13,1.8,0.65,0.03,2.5,2.31,0.61,0.32
3,6.04,10.19,7.82,2.09,0.14,8.84,9.01,9.37,10.34,11.1,0.48,1.77,4.33,2.13,9.64,7.41,11.38,4.85,11.66,8.59,6.44,5.18,9.96,8.83,0.11,0.17,9.29,2.18,8.3,8.43,7.66,8.57,7.51,8.93,2.03,2.01,0.24,9.95,7.69,8.16,0.1,0.17,3.01,4.48,9.78,9.68,9.66,10.43,2.47,8.75,9.61,9.0,7.72,1.32,8.81,0.19,0.69,7.46,9.2,9.84,0.3,2.16,10.28,10.38,0.71,7.22,5.61,9.1,3.08,0.7,8.83,8.06,1.95,0.19,7.28,2.76,1.02,0.4,0.92,4.05,10.67,4.97,6.29,4.59,7.66,0.26,0.42,0.19,9.08,1.69,7.47,7.28,9.96,0.2,1.03,6.36,0.5,8.37,5.55,9.8,0.46,0.47,0.39,8.69,10.56,3.02,10.68,9.68,2.14,7.11,1.59,9.69,5.64,7.07,9.95,7.23,0.81,8.14,9.57,9.24,8.09,7.92,0.25,10.74,10.25,1.71,0.42,4.58,9.44,9.27,1.37,10.02,8.08,0.23,10.13,10.03,2.92,1.53
4,10.48,17.04,14.12,3.6,0.41,15.11,14.92,16.75,16.53,18.43,0.94,3.1,7.37,3.68,17.41,13.18,19.09,8.67,19.4,14.84,10.9,9.74,17.73,14.5,0.44,0.49,16.62,3.95,14.45,13.97,12.92,15.35,13.47,15.21,3.79,3.74,0.68,17.16,14.25,15.31,0.26,0.44,5.45,8.04,16.61,17.22,17.26,18.58,4.29,15.59,17.5,15.11,13.09,2.48,15.07,0.64,1.41,13.18,16.87,16.32,0.81,3.67,17.24,18.18,1.34,12.16,10.33,15.78,5.63,1.49,15.96,14.49,3.54,0.4,14.2,5.01,1.88,0.89,1.88,7.11,18.09,8.83,10.72,8.22,12.97,0.6,0.98,0.59,15.56,3.01,13.45,13.13,16.31,0.48,2.11,11.49,1.06,13.64,10.37,17.67,0.91,0.89,0.78,15.18,17.94,5.28,17.67,15.51,3.78,12.35,2.83,17.54,9.9,12.62,16.98,13.2,1.58,14.14,17.38,16.83,13.82,13.49,0.67,18.18,17.86,3.21,0.99,8.01,17.12,15.58,2.59,16.61,14.56,0.61,17.31,16.95,5.13,2.75
5,15.42,24.18,20.31,5.08,0.72,21.29,20.99,23.96,23.32,25.9,1.43,4.4,10.51,5.21,25.21,18.93,26.89,12.8,27.35,22.0,15.6,14.4,25.3,20.84,0.84,0.96,23.7,5.84,21.14,19.6,18.72,21.87,19.71,22.26,5.63,5.74,1.22,24.56,21.01,22.36,0.54,0.76,8.18,11.81,23.91,24.79,24.66,26.8,6.15,22.73,24.92,21.55,18.98,3.83,21.61,1.16,2.08,19.45,24.17,22.88,1.38,5.19,24.5,25.98,2.05,17.36,14.83,22.49,8.22,2.48,22.89,21.48,5.24,0.66,20.67,7.27,2.85,1.54,2.81,10.77,25.76,12.82,15.31,11.95,18.77,0.98,1.59,1.0,22.87,4.78,19.88,19.53,22.97,0.82,3.25,16.72,1.68,19.79,15.07,25.37,1.56,1.32,1.2,21.66,25.54,7.61,24.7,22.32,5.4,18.14,4.1,25.08,14.38,18.67,24.09,18.85,2.48,20.63,24.83,24.02,19.65,19.08,1.16,25.79,25.63,4.87,1.64,11.67,24.37,22.05,3.95,23.97,20.94,1.12,24.51,24.08,7.45,4.03
6,20.44,31.01,26.63,6.43,1.11,27.34,26.82,30.69,29.94,32.89,1.92,5.59,13.63,6.56,32.31,24.79,34.24,16.86,34.85,29.1,20.3,19.13,32.61,27.32,1.23,1.46,30.38,7.65,28.04,25.47,24.53,28.58,25.98,29.31,7.56,7.68,1.77,31.94,28.05,29.38,0.84,1.1,10.97,15.69,31.34,31.87,31.59,34.5,8.05,29.59,32.31,28.16,24.88,5.2,28.35,1.67,2.81,25.75,31.16,29.36,1.95,6.58,31.76,33.44,2.83,22.38,19.56,29.21,11.03,3.49,29.5,28.34,6.95,0.94,27.06,9.49,3.84,2.21,3.84,14.37,33.02,16.9,20.32,15.9,24.81,1.39,2.27,1.56,30.19,6.56,26.3,25.77,29.48,1.24,4.36,21.91,2.45,26.37,20.04,32.6,2.24,1.82,1.61,28.33,32.83,9.95,31.41,28.91,6.87,24.05,5.31,32.21,18.96,24.75,31.07,24.21,3.3,27.05,32.02,30.88,25.15,24.51,1.66,33.11,33.19,6.47,2.3,15.47,31.5,28.51,5.28,31.3,27.46,1.6,31.69,31.0,9.85,5.45
7,25.67,37.68,32.66,8.04,1.67,34.49,32.55,37.5,36.11,39.7,2.48,6.96,16.79,8.16,39.64,30.74,41.65,20.98,42.56,36.28,24.79,24.23,40.17,33.46,1.75,2.12,37.2,9.37,34.99,31.25,30.17,35.66,32.44,36.48,9.64,9.88,2.47,39.34,35.37,36.83,1.22,1.44,13.9,19.67,38.84,39.31,38.73,42.55,9.99,36.4,39.6,34.58,30.82,6.68,35.1,2.34,3.7,32.03,38.39,35.78,2.68,8.25,38.82,41.12,3.62,27.49,24.34,35.83,13.99,4.66,36.36,35.25,8.72,1.27,33.74,11.95,5.02,3.06,5.07,17.97,40.47,21.03,25.42,19.97,30.68,1.83,3.09,2.23,37.99,8.5,33.08,32.29,36.03,1.77,5.58,26.92,3.38,32.96,25.12,40.05,3.01,2.36,2.09,35.29,40.11,12.44,38.2,35.18,8.57,29.98,6.63,39.56,23.63,30.87,37.51,29.78,4.33,33.48,39.35,37.75,30.76,30.0,2.3,40.38,40.81,8.34,3.08,19.48,38.64,34.96,6.71,38.21,34.44,2.3,38.54,37.9,12.26,6.97
8,30.94,44.35,38.25,9.6,2.22,41.64,38.03,44.2,42.14,46.41,3.08,8.31,19.9,9.71,46.87,36.32,48.86,25.1,50.29,43.27,29.09,29.15,47.59,39.71,2.24,2.67,43.88,11.21,41.71,36.81,35.81,42.57,38.79,43.56,11.58,11.93,3.07,46.33,42.57,43.88,1.52,1.82,16.76,23.56,46.38,46.79,45.67,50.49,11.99,43.32,46.4,41.02,36.65,8.06,41.7,2.91,4.44,38.12,45.33,41.94,3.38,9.87,45.88,48.73,4.45,32.41,28.82,42.62,16.97,5.85,43.15,42.18,10.51,1.6,40.48,14.25,6.14,3.86,6.13,21.76,47.96,25.13,30.27,23.89,36.18,2.28,3.88,2.84,45.7,10.3,39.6,38.78,42.45,2.29,6.74,31.6,4.25,39.92,30.11,47.57,3.83,2.93,2.59,42.0,47.49,14.86,44.7,41.53,10.25,35.86,7.92,46.72,28.32,37.13,43.8,35.2,5.25,39.6,46.44,44.5,36.32,35.38,2.91,47.93,48.14,10.11,3.85,23.42,45.74,41.28,8.13,45.2,41.26,3.03,45.51,44.67,14.88,8.43
9,36.2,50.7,43.76,11.0,2.9,48.72,43.36,50.51,48.22,52.83,3.68,9.69,23.06,11.16,53.85,41.84,55.94,29.15,57.17,50.02,33.34,34.02,54.6,45.6,2.77,3.22,50.3,13.24,48.32,42.25,41.33,49.38,45.16,50.67,13.56,14.23,3.82,53.4,49.7,51.07,1.86,2.2,19.66,27.4,53.54,53.78,52.22,57.75,13.95,49.78,52.98,47.26,42.41,9.44,47.95,3.57,5.29,44.3,52.1,47.69,4.11,11.39,52.93,56.1,5.25,37.09,33.42,49.17,20.05,7.09,49.75,49.09,12.23,1.98,47.07,16.5,7.37,4.84,7.47,25.45,54.97,29.27,35.06,27.87,41.55,2.76,4.72,3.53,53.23,12.2,46.14,44.81,48.48,2.94,8.01,36.22,5.51,46.99,34.89,54.68,4.77,3.52,3.09,48.41,54.47,17.24,50.76,47.54,11.89,41.62,9.15,53.64,32.88,43.16,49.9,40.51,6.28,45.65,53.24,50.97,41.53,40.51,3.64,55.02,55.26,11.99,4.75,27.22,52.78,47.47,9.6,51.96,47.96,3.79,52.01,51.17,17.34,9.98
10,41.36,57.16,49.33,12.63,3.76,55.9,48.76,56.95,54.35,59.18,4.44,11.33,26.16,12.81,60.84,47.57,62.97,33.31,63.94,56.88,37.78,39.03,61.87,51.36,3.51,4.0,56.77,15.38,55.23,47.77,46.97,56.47,51.67,57.71,15.75,16.73,4.81,60.48,56.8,58.17,2.31,2.62,22.72,31.54,60.9,60.87,58.98,65.14,16.01,56.6,59.68,53.51,48.2,11.02,54.43,4.4,6.28,50.57,59.03,53.61,4.99,13.12,59.86,63.41,6.08,41.93,38.22,55.82,23.31,8.63,56.53,55.63,14.04,2.43,53.86,18.99,8.72,5.94,9.07,29.23,62.11,33.53,39.95,31.97,46.88,3.3,5.85,4.32,60.89,14.2,52.69,51.1,54.75,3.81,9.46,40.86,6.85,54.03,39.99,62.05,5.82,4.14,3.66,55.18,61.75,19.73,57.12,53.47,13.64,47.49,10.45,60.58,37.59,49.24,56.1,45.92,7.51,51.8,60.16,57.51,47.1,45.83,4.55,62.27,62.54,14.17,5.81,31.45,59.74,53.73,11.26,58.57,55.0,4.7,58.63,57.84,20.01,11.72
11,46.72,63.56,54.74,14.17,4.7,63.13,53.99,63.29,60.39,65.44,5.17,12.91,29.2,14.46,67.74,53.01,69.97,37.62,70.67,63.83,42.26,44.05,68.86,57.36,4.32,4.96,63.19,17.62,61.84,53.17,52.49,63.44,57.99,64.65,18.03,19.39,5.88,67.22,64.07,65.27,2.83,3.03,25.9,35.66,68.04,67.84,65.58,72.28,18.12,63.17,66.19,59.72,53.75,12.7,60.63,5.34,7.39,56.7,65.78,59.43,5.92,14.79,67.04,70.68,6.95,46.68,43.01,62.63,26.57,10.41,63.08,62.33,15.82,2.89,60.74,21.48,10.1,7.33,10.61,33.24,69.23,37.9,44.78,36.08,51.99,3.84,7.01,5.28,68.51,16.32,59.24,57.13,61.26,4.88,11.0,45.55,8.41,61.05,45.07,69.38,7.01,4.74,4.19,61.77,68.99,22.12,63.32,59.47,15.35,53.17,11.69,67.48,42.38,55.29,62.22,51.24,8.83,58.06,67.0,63.93,52.58,51.07,5.51,69.48,69.71,16.37,6.97,35.47,66.64,59.88,13.01,65.24,62.1,5.71,65.22,64.34,22.62,13.48
