Champion,Value at level 1,Growth coefficient,Value at 18
Aatrox,60.376,3.2,114.8
Ahri,53.04,3,104
Akali,58.376,3.2,112.8
Alistar,61.1116,3.62,122.7
Amumu,53.384,3.8,118
Anivia,51.376,3.2,105.8
Annie,50.41,2.625,95
Ashe,56.508,2.26,94.9
Aurelion Sol,57,3.2,111.4
Azir,52,2.8,99.6
Bard,52,3,103
Blitzcrank,61.54,3.5,121
Brand,57.04,3,108
Braum,55.376,3.2,109.8
Caitlyn,53.66,2.18,90.7
Camille,60,3.5,119.5
Cassiopeia,53,3,104
Cho'Gath,61.156,4.2,132.6
Corki,55,3.5,114.5
Darius,56,5,141
Diana,53.04,3,104
Dr. Mundo,61.27,3.5,120.8
Draven,55.8,2.91,105.3
Ekko,55,3,106
Elise,47,3,98
Evelynn,61,3,112
Ezreal,55.66,2.41,96.6
Fiddlesticks,48.36,2.625,93
Fiora,60,3.3,116.1
Fizz,58.04,3,109
Galio,59,3.5,118.5
Gangplank,56,3,107
Garen,57.88,4.5,134.4
Gnar,51,3,102
Gragas,61.38,3.5,120.9
Graves,60.83,2.41,101.8
Hecarim,58,3.2,112.4
Heimerdinger,55.536,2.7,101.4
Illaoi,60,5,145
Irelia,61.544,3.3,117.6
Ivern,50,3,101
Janna,46,1.5,71.5
Jarvan IV,55.712,3.4,113.5
Jax,61.97,3.375,119.3
Jayce,50.38,3.5,109.9
Jhin,53,4,121
Jinx,58.46,2.41,99.4
Kalista,62.92,2.91,112.4
Karma,53.544,3.3,109.6
Karthus,45.66,3.25,100.9
Kassadin,58.852,3.9,125.2
Katarina,58,3.2,112.4
Kayle,51.004,2.8,98.6
Kayn,60,2.8,107.6
Kennen,50.544,3.3,106.6
Kha'Zix,55.208,3.1,107.9
Kindred,57,2.26,95.4
Kled,55,3,106
Kog'Maw,57.46,2.41,98.4
LeBlanc,54.88,3.5,114.4
Lee Sin,61.176,3.2,115.6
Leona,60.04,3,111
Lissandra,53,2.7,98.9
Lucian,57.46,2.41,98.4
Lulu,46.368,2.6,90.6
Lux,53.544,3.3,109.6
Malphite,61.97,3.375,119.3
Malzahar,55,3,106
Maokai,63.544,3.3,119.6
Master Yi,60.04,3,111
Miss Fortune,46,1,63
Mordekaiser,61,5,146
Morgana,55.46,3.5,115
Nami,51.208,3.1,103.9
Nasus,59.18,3.5,118.7
Nautilus,57.544,3.3,113.6
Nidalee,53,3.5,112.5
Nocturne,59.208,3.1,111.9
Nunu,59,4,127
Olaf,59.98,3.5,119.5
Orianna,40.368,2.6,84.6
Ornn,59.72,3.5,119.2
Pantheon,55.572,2.9,104.9
Poppy,56,4,124
Quinn,54.46,2.41,95.4
Rakan,62,3.5,121.5
Rammus,55.88,3.5,115.4
Rek'Sai,57,3.35,114
Renekton,58.328,3.1,111
Rengar,60,1.5,85.5
Riven,56.04,3,107
Rumble,61.036,3.2,115.4
Ryze,55.04,3,106
Sejuani,56,3,107
Shaco,57.58,3.5,117.1
Shen,60,3,111
Shyvana,60.712,3.4,118.5
Singed,62.32,3.375,119.7
Sion,59.72,4,127.7
Sivir,57.46,2.41,98.4
Skarner,57,4.5,133.5
Sona,50.04,3,101
Soraka,50.04,3,101
Swain,52.04,3,103
Syndra,53.872,2.9,103.2
Tahm Kench,56,3.2,110.4
Taliyah,56,3.3,112.1
Talon,60,3.1,112.7
Taric,55,3.5,114.5
Teemo,49.54,3,100.5
Thresh,47.696,2.2,85.1
Tristana,56.96,2.41,97.9
Trundle,60.04,3,111
Tryndamere,61.376,3.2,115.8
Twisted Fate,49.954,3.3,106.1
Twitch,55.46,2.41,96.4
Udyr,58.286,5,143.3
Urgot,55,4,123
Varus,54.66,2.41,95.6
Vayne,55.88,1.66,84.1
Veigar,50.71,2.625,95.3
Vel'Koz,54.937875658,3.1415926536,108.3
Vi,55.88,3.5,115.4
Viktor,52.04,3,103
Vladimir,55,3,106
Volibear,59.544,3.3,115.6
Warwick,58,3,109
Wukong,59.876,3.2,114.3
Xayah,56,2.2,93.4
Xerath,54.7,3,105.7
Xin Zhao,57.544,3.3,113.6
Yasuo,55.376,3.2,109.8
Yorick,57,5,142
Zac,60,3.375,117.4
Zed,54.712,3.4,112.5
Ziggs,54.208,3.1,106.9
Zilean,51.64,3,102.6
Zyra,53.376,3.2,107.8
