Level0;Level1;Level2;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Codici ; Civile;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia e diritti ; Diritti civili;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giustizia e diritti ; Diritti civili;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Udienza preliminare;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Causa;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Arbitrato;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Processo ; Udienza preliminare;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Teste;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Imputato;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Accusa ; Teste;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Criminalità  Organizzata;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Diritto Internazionale ; Estradizione;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Diritto Internazionale ; Corti, Tribunali internazionali;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Diritto Internazionale ; Estradizione;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Tangenti;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Frodi;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Appropriazioni indebite;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Limitazioni alla concorrenza;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Inadempienze contrattuali;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Infrazioni all'antitrust;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Corruzione;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini societari ; Tangenti;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Crimini Guerra;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Inchiesta, Autopsia;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Commissione d'Inchiesta;;;;;;;;;;;;;;;;;
Giustizia, Criminalità  ; Giurisdizioni varie;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Siccità ;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Terremoto;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Carestia;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incendio;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Inondazione;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidente industriale ; Cedimento strutturale;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidente industriale ; Cedimento strutturale;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Disastri meteorologici ; Tempeste vento;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Disastri meteorologici ; Tempeste vento;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nucleari;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Inquinamento;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nei trasporti ; Marittimi;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nei trasporti ; Stradali;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nei trasporti ; Ferroviari;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nei trasporti ; Aerei e spaziali;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidenti nei trasporti ; Marittimi;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Eruzione;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Organizzazioni di aiuto e soccorso;;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Incidente (generico);;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Emergenza ; Esplosione;;;;;;;;;;;;;;;;
Disastri, Incidenti ; Emergenza ; Esplosione;;;;;;;;;;;;;;;;
