Level0	Level1	Level2
Sport 	 Tiro a segno 	 50 m Pistola libera
Sport 	 Tiro a segno 	 50 m carabina libera a terra
Sport 	 Tiro a segno 	 50 m carabina libera 3 x 40
Sport 	 Tiro a segno 	 50 m carabina sportiva 3 x 20
Sport 	 Tiro a segno 	 Tiro a 2 piattelli
Sport 	 Tiro a segno 	 Skeet
Sport 	 Tiro a segno 	 Pistola automatica
Sport 	 Tiro a segno 	 50 m carabina libera 3 x 40
Sport 	 Tiro a segno 	 50 m carabina sportiva 3 x 20
Sport 	 Tiro a segno 	 Fossa olimpica
Sport 	 Tiro a segno 	 Skeet
Sport 	 Salto con gli sci 	 K 90 salto15052002
Sport 	 Salto con gli sci 	 K 120 salto15052003
Sport 	 Snowboard 	 Half
Sport 	 Snowboard 	 Slalom gigante
Sport 	 Snowboard 	 Half
Sport 	 Calcio	
Sport 	 Softball	
Sport 	 Pattinaggio di velocita'  	 500 m15056002
Sport 	 Pattinaggio di velocita'  	 Short track 500 m
Sport 	 Pattinaggio di velocita'  	 Short Track
Sport 	 Speedway	
Sport 	 Organizzazioni sportive 	 GAISF
Sport 	 Organizzazioni sportive 	 IOC
Sport 	 Organizzazioni sportive 	 Federazione Internazionale
Sport 	 Organizzazioni sportive 	 Federazione continentale
Sport 	 Organizzazioni sportive 	 Federazione nazionale
Sport 	 Organizzazioni sportive 	 GAISF
Sport 	 Squash	
Sport 	 Sumo	
Sport 	 Surf	
Sport 	 Nuoto 	 50 m sl
Sport 	 Nuoto 	 100 m sl
Sport 	 Nuoto 	 200 m sl
Sport 	 Nuoto 	 400 m sl
Sport 	 Nuoto 	 800 m sl
Sport 	 Nuoto 	 4 x 50 m sl
Sport 	 Nuoto 	 4 x 100 m sl
Sport 	 Nuoto 	 libero 4 x 200 m sl
Sport 	 Nuoto 	 50 m dorso
Sport 	 Nuoto 	 100 m dorso
Sport 	 Nuoto 	 200 m dorso
Sport 	 Nuoto 	 50 m rana
Sport 	 Nuoto 	 100 m rana
Sport 	 Nuoto 	 200 m rana
Sport 	 Nuoto 	 50 m farfalla
Sport 	 Nuoto 	 100 m farfalla
Sport 	 Nuoto 	 200 m farfalla
Sport 	 Nuoto 	 100 m Misti (individuale)
Sport 	 Nuoto 	 200 m Misti (individuale)
Sport 	 Nuoto 	 400 m Misti (individuale)
Sport 	 Nuoto 	 Staffetta mista 4 x 50 m
Sport 	 Nuoto 	 Staffetta mista 4 x 100 m
Sport 	 Nuoto 	 Nuoto sincronizzato libero
Sport 	 Nuoto 	 4 x 50 m sl
Sport 	 Nuoto 	 4 x 100 m sl
Sport 	 Nuoto 	 libero 4 x 200 m sl
Sport 	 Nuoto 	 Staffetta mista 4 x 50 m
Sport 	 Nuoto 	 Staffetta mista 4 x 100 m
Sport 	 Nuoto 	 Vasca corta
Sport 	 Nuoto 	 Nuoto sincronizzato tecnico
Sport 	 Nuoto 	 Nuoto sincronizzato libero
Sport 	 Ping pong	
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Taekwon	Do 
Sport 	 Tennis 	 Soft tennis
Sport 	 Tennis 	 Soft tennis
Sport 	 Triathlon 	 Corsa
Sport 	 Triathlon 	 Nuoto
Sport 	 Triathlon 	 Ciclismo
Sport 	 Triathlon 	 Corsa
Sport 	 Pallavolo 	 Beach volley
Sport 	 Pallavolo 	 Beach volley
Sport 	 Pallanuoto	
Sport 	 Sci nautico 	 Combinato
Sport 	 Sci nautico 	 Slalom
Sport 	 Sci nautico 	 Acrobatico
Sport 	 Sci nautico 	 Salto
Sport 	 Sci nautico 	 Combinato
Sport 	 Sollevamento pesi 	 48 kg
Sport 	 Sollevamento pesi 	 53 kg
Sport 	 Sollevamento pesi 	 63 kg
Sport 	 Sollevamento pesi 	 75 kg
Sport 	 Sollevamento pesi 	 Oltre 75 kg
Sport 	 Sollevamento pesi 	 56 kg
Sport 	 Sollevamento pesi 	 62 kg
Sport 	 Sollevamento pesi 	 69 kg
Sport 	 Sollevamento pesi 	 77 kg
Sport 	 Sollevamento pesi 	 85 kg
Sport 	 Sollevamento pesi 	 94 kg
Sport 	 Sollevamento pesi 	 105 kg
Sport 	 Sollevamento pesi 	 Più di 105 kg
Sport 	 Sollevamento pesi 	 Powerlifting
Sport 	 Sollevamento pesi 	 Strappo
Sport 	 Sollevamento pesi 	 Due tempi (salto e strappo)
Sport 	 Sollevamento pesi 	 Powerlifting
Sport 	 Windsurf 	 Terra
Sport 	 Windsurf 	 Oceano
Sport 	 Windsurf 	 Lago
Sport 	 Windsurf 	 Fiume
Sport 	 Windsurf 	 Terra
Sport 	 Lotta 	 Superiore ai 130 kg
Sport 	 Lotta 	 130 kg
Sport 	 Lotta 	 97 kg
Sport 	 Lotta 	 85 kg
Sport 	 Lotta 	 76 kg
Sport 	 Lotta 	 69 kg
Sport 	 Lotta 	 63 kg
Sport 	 Lotta 	 58 kg
Sport 	 Lotta 	 54 kg
Sport 	 Lotta 	 Lotta svizzera
Sport 	 Lotta 	 Libera
Sport 	 Lotta 	 Greco/romana
Sport 	 Lotta 	 Lotta svizzera
Sport 	 Evento sportivo 	 Giochi paraolimpici
Sport 	 Evento sportivo 	 Olimpiadi
Sport 	 Evento sportivo 	 Olimpiadi invernali
Sport 	 Evento sportivo 	 Universiade
Sport 	 Evento sportivo 	 Universiade invernale
Sport 	 Evento sportivo 	 Giochi del Commonwealth
Sport 	 Evento sportivo 	 Giochi invernali della buona volonta' 
Sport 	 Evento sportivo 	 Giochi Asiatici
Sport 	 Evento sportivo 	 Giochi Asiatici Invernali
Sport 	 Evento sportivo 	 Giochi panamericani
Sport 	 Evento sportivo 	 Giochi africani
Sport 	 Evento sportivo 	 Giochi mediterranei
Sport 	 Evento sportivo 	 Giochi sudest asiatici
Sport 	 Evento sportivo 	 Giochi panpacifici
Sport 	 Evento sportivo 	 Giochi del sudpacifico
Sport 	 Evento sportivo 	 Giochi panarabici
Sport 	 Evento sportivo 	 Giochi estivi della buona volonta' 
Sport 	 Evento sportivo 	 Giochi mondiali
Sport 	 Evento sportivo 	 Coppa del mondo
Sport 	 Evento sportivo 	 Coppa intercontinentale
Sport 	 Evento sportivo 	 Coppa continentale
Sport 	 Evento sportivo 	 Coppa internazionale
Sport 	 Evento sportivo 	 Coppa nazionale
Sport 	 Evento sportivo 	 Coppa interregionale
Sport 	 Evento sportivo 	 Coppa regionale
Sport 	 Evento sportivo 	 Coppa della lega
Sport 	 Evento sportivo 	 Campionato mondiale
Sport 	 Evento sportivo 	 Campionato intercontinentale
Sport 	 Evento sportivo 	 Campionato continentale di primo livello
Sport 	 Evento sportivo 	 Campionato continentale di secondo livello
Sport 	 Evento sportivo 	 Campionato continentale di terzo livello
Sport 	 Evento sportivo 	 Campionato nazionale di I livello
Sport 	 Evento sportivo 	 Campionato nazionale di II livello
Sport 	 Evento sportivo 	 Campionato nazionale di III livello
Sport 	 Evento sportivo 	 Campionato nazionale di IV livello
Sport 	 Evento sportivo 	 Campionato regionale
Sport 	 Evento sportivo 	 Gran Premio
Sport 	 Evento sportivo 	 Competizione intercontinentale
Sport 	 Evento sportivo 	 Competizione continentale
Sport 	 Evento sportivo 	 Competizione internazionale
Sport 	 Evento sportivo 	 Gara nazionale
Sport 	 Evento sportivo 	 Gara tra nazioni
Sport 	 Evento sportivo 	 Gara tra circoli
Sport 	 Evento sportivo 	 Gara amichevole
Sport 	 Evento sportivo 	 Competizione all
Sport 	 Evento sportivo 	 Esibizione
Sport 	 Evento sportivo 	 Super Bowl
Sport 	 Evento sportivo 	 Giochi paraolimpici
Sport 	 Rodeo 	 Capra al lazo
Sport 	 Rodeo 	 Barrel racing
Sport 	 Rodeo 	 Vitello al lazo
Sport 	 Rodeo 	 Monta del toro
Sport 	 Rodeo 	 Bulldogging
Sport 	 Rodeo 	 Saddle bronc
Sport 	 Rodeo 	 Senza sella
Sport 	 Rodeo 	 Capra al lazo
Sport 	 Mini golf	
Sport 	 Bandy	
Sport 	 Frisbee 	 Golf con il disco
Sport 	 Frisbee 	 Finale
Sport 	 Frisbee 	 Guts
Sport 	 Frisbee 	 Overall
Sport 	 Frisbee 	 Distanza
Sport 	 Frisbee 	 Discathon
Sport 	 Frisbee 	 DDC
Sport 	 Frisbee 	 SCF
Sport 	 Frisbee 	 Stile libero
Sport 	 Frisbee 	 Precisione
Sport 	 Frisbee 	 Golf con il disco
Sport 	 Floorball	
Sport 	 Casting	
Sport 	 Tiro alla fune	
Sport 	 Croquet	
Sport 	 Corsa di cani 	 Pista ovale
Sport 	 Corsa di cani 	 Slitta
Sport 	 Corsa di cani 	 Pista ovale
Sport 	 Skeleton	
Sport 	 Football con regole australiane	
Sport 	 Football canadese	
Sport 	 Duathlon	
Sport 	 Hornuss	
Sport 	 Sfera del pugno	
Sport 	 Pattinaggio in linea	
Sport 	 Sci su erba	
Sport 	 Snowbiking	
Sport 	 Twirling	
Sport 	 Kendo	
Sport 	 Jukendo	
Sport 	 Naginata	
Sport 	 Kyudo	
Sport 	 Kabaddi	
Sport 	 Sepak Takraw	
Sport 	 Wushu	
Sport 	 Freccette	
Sport 	 Bodybuilding	
Sport 	 sports disciplinary action	
Sport 	 sports awards	
Agitazioni, Conflitti, Guerre 	 Terrorismo	
Agitazioni, Conflitti, Guerre 	 Conflitto armato	
Agitazioni, Conflitti, Guerre 	 Disordini 	 Conflitti sociali
Agitazioni, Conflitti, Guerre 	 Disordini 	 Rivoluzione
Agitazioni, Conflitti, Guerre 	 Disordini 	 Ribellione
Agitazioni, Conflitti, Guerre 	 Disordini 	 Dissenso
Agitazioni, Conflitti, Guerre 	 Disordini 	 Conflitti religiosi
Agitazioni, Conflitti, Guerre 	 Disordini 	 Conflitti sociali
Agitazioni, Conflitti, Guerre 	 Colpo Stato	
Agitazioni, Conflitti, Guerre 	 Guerriglia 	 Attentato dinamitardo
Agitazioni, Conflitti, Guerre 	 Guerriglia 	 Bioterrorismo
Agitazioni, Conflitti, Guerre 	 Guerriglia 	 Attentato dinamitardo
Agitazioni, Conflitti, Guerre 	 Massacro 	 Genocidio
Agitazioni, Conflitti, Guerre 	 Massacro 	 Genocidio
Agitazioni, Conflitti, Guerre 	 Sommossa	
Agitazioni, Conflitti, Guerre 	 Manifestazione	
Agitazioni, Conflitti, Guerre 	 Guerra 	 Prigionieri Guerra
Agitazioni, Conflitti, Guerre 	 Guerra 	 Guerra civile
Agitazioni, Conflitti, Guerre 	 Guerra 	 Intervento militare internazionale
Agitazioni, Conflitti, Guerre 	 Guerra 	 Prigionieri Guerra
Agitazioni, Conflitti, Guerre 	 Conflitti (generico) 	 Peacekeeping
Agitazioni, Conflitti, Guerre 	 Conflitti (generico) 	 Peacekeeping
Agitazioni, Conflitti, Guerre 	 Crisi	
Agitazioni, Conflitti, Guerre 	 Armamenti	
Meteo 	 Previsioni	
Meteo 	 Cambiamenti climatici	
Meteo 	 Bollettini meteo 	 Notizie meteo
Meteo 	 Bollettini meteo 	 Notizie meteo
Meteo 	 Statistiche	
Meteo 	 Allerta meteo	
